1 1:301.1764 2:28.54772 3:9.992885 4:-8.4518585 5:4.4326196 6:5.3614187 7:8.894252 8:-7.3191543 9:10.730015 10:-3.467976 11:7.018217 12:-5.828923 13:8.17724 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:314.00092 2:23.442165 3:11.654409 4:-7.0261626 5:7.339767 6:3.496914 7:6.9963975 8:-6.270524 9:10.725562 10:-3.3931904 11:6.0896807 12:-4.7864757 13:7.296463 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:321.42023 2:29.90856 3:6.706036 4:-8.845257 5:6.8339057 6:6.211782 7:5.851886 8:-9.868609 9:12.606809 10:-3.8118176 11:5.6002254 12:-5.740091 13:8.894155 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:331.84738 2:22.49741 3:9.002472 4:-8.650715 5:9.374046 6:2.4154117 7:5.998572 8:-6.097207 9:8.146787 10:-1.9589037 11:4.873248 12:-4.6274157 13:7.4049907 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:329.86694 2:24.228508 3:9.038246 4:-8.215101 5:7.8787313 6:2.6690884 7:6.2304597 8:-7.6981487 9:9.201382 10:-2.6699865 11:4.358982 12:-4.0496726 13:7.4324784 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:346.27945 2:21.460327 3:7.484672 4:1.9009224 5:2.6076515 6:2.8107927 7:4.998494 8:-9.254595 9:7.134268 10:-3.0986648 11:5.3651676 12:-8.432024 13:9.01247 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:342.24545 2:32.33323 3:11.127167 4:-4.016738 5:6.6684394 6:1.7501495 7:0.69990903 8:-12.566202 9:8.104377 10:-3.5643332 11:6.762695 12:-9.785771 13:9.471654 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:354.78912 2:26.169954 3:9.957713 4:-5.4417424 5:7.955273 6:-2.851136 7:0.4726252 8:-11.1994915 9:8.471309 10:-0.19212501 11:4.4014573 12:-9.0318985 13:5.534155 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:347.93253 2:33.235523 3:6.22212 4:-5.5622325 5:6.715048 6:-2.295252 7:2.3031023 8:-13.009622 9:9.984161 10:-0.41808805 11:6.357366 12:-13.057702 13:6.542424 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:346.14813 2:33.941364 3:6.0611196 4:-6.938572 5:7.557059 6:-1.9472046 7:2.7767396 8:-11.49576 9:7.8466525 10:1.6780734 11:4.4069533 12:-13.56095 13:6.1719847 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:355.53934 2:26.266457 3:8.29154 4:-8.689289 5:9.187306 6:-1.5976743 7:1.7626244 8:-8.695018 9:7.781426 10:-0.128753 11:3.2414944 12:-11.244322 13:3.9177027 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:355.16492 2:26.025763 3:6.4417057 4:-7.4593782 5:7.5132465 6:1.8295705 7:3.2008543 8:-10.122929 9:9.484167 10:-1.3973454 11:3.714418 12:-11.952707 13:3.9923763 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
