1 1:336.58667 2:25.19225 3:12.53226 4:-7.591305 5:0.9051267 6:-3.267138 7:6.6711483 8:-4.804305 9:7.748653 10:-5.603384 11:2.7935555 12:-7.0452576 13:-0.42374536 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:337.5875 2:23.880486 3:12.049654 4:-8.4769335 5:2.6323295 6:-0.8689577 7:7.5713325 8:-4.834274 9:6.493691 10:-5.7480054 11:3.555514 12:-7.299108 13:0.17045657 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:338.47473 2:24.071697 3:9.521703 4:-8.236404 5:3.1015222 6:2.4526432 7:8.6089 8:-7.0334654 9:6.8385277 10:-4.8272505 11:3.4957085 12:-6.924228 13:1.0844522 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:339.83517 2:24.480461 3:6.294362 4:-7.675304 5:4.4219937 6:5.381355 7:9.817438 8:-8.724146 9:7.358239 10:-4.006576 11:3.3854253 12:-8.159558 13:1.5761741 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:342.4206 2:23.830944 3:5.143285 4:-8.045496 5:5.1767025 6:6.046056 7:9.522614 8:-8.991577 9:8.36912 10:-3.5388181 11:2.9930406 12:-8.469919 13:2.5227165 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:339.32474 2:25.698713 3:6.182853 4:-7.4679217 5:3.684855 6:7.3600774 7:11.30002 8:-9.951047 9:9.506218 10:-1.9368286 11:0.901025 12:-9.162766 13:4.035803 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:335.5549 2:26.907276 3:7.2446485 4:-8.584167 5:5.148742 6:6.372556 7:12.249106 8:-7.873893 9:8.96296 10:-1.928711 11:2.0795116 12:-11.042421 13:4.2133875 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:340.07526 2:21.598886 3:8.988573 4:-7.650845 5:6.302628 6:3.733771 7:11.636454 8:-3.9212148 9:9.069485 10:-1.4986253 11:1.432421 12:-9.416898 13:3.1125252 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:332.87848 2:21.164343 3:10.57952 4:-6.927891 5:6.224993 6:1.9206518 7:10.864727 8:-2.0682688 9:9.7089205 10:-0.8293636 11:2.5851386 12:-8.758734 13:2.9041624 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:312.44122 2:25.032574 3:12.341025 4:-7.501408 5:2.995507 6:1.337027 7:9.791857 8:-3.5881708 9:8.345621 10:-0.93480206 11:5.233426 12:-7.823774 13:3.7432601 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:304.78452 2:20.542665 3:13.718698 4:-7.111976 5:1.9468737 6:0.35470754 7:9.927401 8:-2.7808218 9:6.739566 10:-1.4719818 11:5.216807 12:-5.1414227 13:4.895829 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
